INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
1012 79 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059840012,06/06/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/02/2016,979830,165783
2502 ARTHUR AVENUE,BRONX,06 BRONX,Precinct 48,15,2030780012,04/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/07/2016,1015990,251984
363 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,08,2023010039,08/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/22/2016,1005344,234208
4171 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2048350006,08/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1023604,264618
450 VAN BRUNT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3006100028,07/11/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/13/2016,979884,185177
3240 BRONX BOULEVARD,BRONX,12 BRONX,Precinct 47,15,2045930016,04/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2016,1020073,257100
4633 BRONX BOULEVARD,BRONX,12 BRONX,Precinct 47,11,2050770021,04/22/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/14/2016,1024488,268682
3766 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046660049,04/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/13/2016,1022124,261061
3101 HARDING AVENUE,BRONX,10 BRONX,Precinct 45,13,2055200194,04/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/07/2016,1037401,236958
652 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030740045,04/04/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1015782,250717
1609 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065830094,03/03/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,991504,162782
22 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002970008,03/13/2017,Open,Site downloaded for cleaning,,986814,199916
1402A 43 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056060010,02/03/2017,Open,Site downloaded for cleaning,,988118,171291
100 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1018250001,02/04/2017,Open,Site downloaded for cleaning,,997374,231657
690 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027640006,02/01/2017,Open,Site downloaded for cleaning,,999271,199552
1870 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3017030034,01/24/2017,Open,Site downloaded for cleaning,,1005118,186676
1797 STILLWELL AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066430049,01/30/2017,Open,Site downloaded for cleaning,,988029,158868
172 EAST   85 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1015130043,01/30/2017,Open,Site downloaded for cleaning,,996644,222891
120 WEST  167 STREET,BRONX,04 BRONX,Precinct 44,16,2025140064,01/04/2017,Open,Site downloaded for cleaning,,1004628,244116
170 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003440171,01/19/2017,Open,Site downloaded for cleaning,,988494,201219
2675 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,06,1018730052,01/14/2017,Open,Site downloaded for cleaning,,992801,230132
5702 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008500038,11/23/2016,Open,Site downloaded for cleaning,,982060,171392
317 ALEXANDER AVENUE,BRONX,01 BRONX,Precinct 40,08,2023150012,12/07/2016,Open,Site downloaded for cleaning,,1005324,235047
32-62 83 STREET,QUEENS,03 QUEENS,Precinct 115,25,4014120040,12/23/2016,Open,Site downloaded for cleaning,,1016219,214918
969 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018620064,12/09/2016,Open,Site downloaded for cleaning,,993942,231250
2223 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063480069,12/10/2016,Open,Site downloaded for cleaning,,986138,158449
7501 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059400011,11/05/2016,Open,Site downloaded for cleaning,,976527,169297
1096 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016000015,11/02/2016,Open,Site downloaded for cleaning,,1003551,192215
162 EAST   36 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,04,1008910046,10/22/2016,Open,Site downloaded for cleaning,,990449,211497
17 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002980025,08/10/2016,Open,Site downloaded for cleaning,,986785,199856
120 EAST    7 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004340024,08/17/2016,Open,Site downloaded for cleaning,,988614,203904
4614 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007590041,05/27/2016,Open,Site downloaded for cleaning,,983825,173620
880 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015820012,05/21/2016,Open,Site downloaded for cleaning,,1001575,193674
854 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,17,2027220001,04/18/2016,Open,Site downloaded for cleaning,,1013191,237212
402 EAST   11 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004380009,04/18/2016,Open,Site downloaded for cleaning,,988784,204948
451 GRANDVIEW AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4033680013,04/19/2016,Open,Site downloaded for cleaning,,1009450,198167
1193 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041840001,04/06/2017,Open,Site to be cleaned.,,1021601,186664
37 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003490019,03/27/2017,Open,Site to be cleaned.,,988514,201587
1117 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032410079,03/18/2017,Open,Site to be cleaned.,,1003790,192045
738 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006490040,03/13/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,985612,179644
51-22 NORTHERN BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4011920001,03/21/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009701,213687
87-87 FRANCIS LEWIS BOULEVARD,QUEENS,08 QUEENS,Precinct 107,23,4105890001,03/13/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1050878,202164
145-11 LIBERTY AVENUE,QUEENS,12 QUEENS,Precinct 103,28,4100190039,03/30/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1037602,192046
2454 THIRD AVENUE,BRONX,01 BRONX,Precinct 40,08,2023170035,03/06/2017,Open,Site downloaded for cleaning,,1003718,234095
3521 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2023730049,02/09/2017,Open,Site downloaded for cleaning,,1010338,242161
1586 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,18,2039520001,02/09/2017,Open,Site downloaded for cleaning,,1021822,245559
414 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,08,2022820011,02/13/2017,Open,Site downloaded for cleaning,,1005803,233948
1675 EAST    2 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066340001,02/12/2017,Open,Site downloaded for cleaning,,992074,160972
1601 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050770035,02/01/2017,Open,Site downloaded for cleaning,,994026,175648
926 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015840025,02/24/2017,Open,Site downloaded for cleaning,,1001977,193376
147-17 UNION TURNPIKE,QUEENS,08 QUEENS,Precinct 107,24,4066910041,02/05/2017,Open,Site downloaded for cleaning,,1035554,201025
371 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024630037,02/28/2017,Open,Site downloaded for cleaning,,996729,197010
1669 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065830071,01/13/2017,Open,Site downloaded for cleaning,,991578,162278
89-52 165 STREET,QUEENS,12 QUEENS,Precinct 103,24,4097940030,01/03/2017,Open,Site downloaded for cleaning,,1040785,197046
262 WEST  145 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020300057,01/20/2017,Open,Site downloaded for cleaning,,1000636,238889
612 WESTCHESTER AVENUE,BRONX,01 BRONX,Precinct 40,17,2026230033,12/13/2016,Open,Site downloaded for cleaning,,1009041,236558
803 46 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3007510001,12/13/2016,Open,Site downloaded for cleaning,,983969,173592
410 54 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008230009,12/07/2016,Open,Site downloaded for cleaning,,980264,173864
198 FORSYTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004220072,12/16/2016,Open,Site downloaded for cleaning,,986820,202510
181 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004260037,12/11/2016,Open,Site downloaded for cleaning,,986432,202134
1215 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3052950068,11/02/2016,Open,Site downloaded for cleaning,,987760,173244
57 4 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1005550010,11/06/2016,Open,Site downloaded for cleaning,,986891,205501
520 WEST   49 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010770043,10/25/2016,Open,Site downloaded for cleaning,,986048,217833
108-12 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4093920005,09/30/2016,Open,Site downloaded for cleaning,,1029362,191218
165-25 LIBERTY AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4101550069,08/10/2016,Open,Site downloaded for cleaning,,1042057,195187
159-10 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4097650043,04/18/2016,Open,Site downloaded for cleaning,,1038985,197197
19-53 46 STREET,QUEENS,01 QUEENS,Precinct 114,22,4007740010,03/24/2017,Open,Site to be cleaned.,,1012779,221568
4179 THIRD AVENUE,BRONX,06 BRONX,Precinct 48,15,2029240034,02/13/2017,Open,Site to be cleaned.,,1012865,247478
1816 PUTNAM AVENUE,QUEENS,05 QUEENS,Precinct 104,34,4034630015,02/19/2017,Open,Site to be cleaned.,,1010560,194986
3785 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074460001,02/08/2017,Open,Site to be cleaned.,,1000884,154694
135 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003190028,02/17/2017,Open,Site downloaded for cleaning,,983797,189648
23-94 23 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008760001,03/07/2017,Open,Site downloaded for cleaning,,1006300,222014
363 CARROLL STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3004440046,02/15/2017,Open,Site downloaded for cleaning,,986773,186609
233 EAST  176 STREET,BRONX,05 BRONX,Precinct 46,15,2028020066,01/30/2017,Open,Site downloaded for cleaning,,1010441,248050
22-02 25 ROAD,QUEENS,01 QUEENS,Precinct 114,22,4008840030,01/29/2017,Open,Site downloaded for cleaning,,1005382,221167
270 FORT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021420050,01/31/2017,Open,Site downloaded for cleaning,,1000575,246859
4402 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007400041,11/28/2016,Open,Site downloaded for cleaning,,983551,174529
39 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004940040,12/04/2016,Open,Site downloaded for cleaning,,985389,202250
33 SPARTAN AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 121,49,5016700113,11/02/2016,Open,Site downloaded for cleaning,,939010,167216
171-49 ASHBY AVENUE,QUEENS,11 QUEENS,Precinct 111,20,4055820040,05/05/2016,Open,Site downloaded for cleaning,,1041461,213561
24-62 29 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008410060,04/07/2017,Open,Site to be cleaned.,,1007049,220525
2157 SOUTHERN BOULEVARD,BRONX,06 BRONX,Precinct 48,15,2031110065,02/09/2017,Open,Site to be cleaned.,,1016490,247982
1249 BEACH AVENUE,BRONX,09 BRONX,Precinct 43,18,2037630042,02/23/2017,Open,Site to be cleaned.,,1021264,242187
32-11 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008370156,02/11/2017,Open,Site to be cleaned.,,1007410,219968
 dyker golf course 86 street wall,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,03/29/2017,Open,Property Research Required,,,
110-35 FARMERS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,,03/12/2017,Open,Property Research Required,,1049163,195171
 North Railroad at Bryant Avenue,STATEN ISLAND,Unspecified STATEN ISLAND,Unspecified,,,03/26/2017,Open,Property Research Required,,,
99-20 ALBERT PLACE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,02/20/2017,Open,Property Research Required,,,
83 83 AVE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,01/23/2017,Open,Property Research Required,,,
46 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,,01/17/2017,Open,Property Research Required,,988495,201521
394 BALTIC STREET,BROOKLYN,06 BROOKLYN,Precinct 76,33,,12/15/2016,Open,Property Research Required,,987151,188454
 minetta green,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/09/2016,Open,Property Research Required,,,
1987 BELMONT AVENUE,BRONX,06 BRONX,Precinct 48,17,,07/15/2016,Open,Property Research Required,,1014348,247767
 West 142 street and 5 avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,05/17/2016,Open,Property Research Required,,,
 corner of clay and commerical street,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,05/18/2016,Open,Property Research Required,,,
129 NORTH    7 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,,05/01/2016,Open,Property Research Required,,995712,201021
324 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004080028,03/13/2017,Open,Site downloaded for cleaning,,986884,200553
557 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3006020001,02/09/2017,Open,Site downloaded for cleaning,,981927,184541
446 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2022930052,02/08/2017,Open,Site downloaded for cleaning,,1007485,236357
21 DIVISION PLACE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028400017,12/31/2016,Open,Site downloaded for cleaning,,1000902,201734
3409 JEROME AVENUE,BRONX,07 BRONX,Precinct 52,11,2033240095,01/24/2017,Pending,Cleaning crew dispatched.  Property cleaned.,01/20/2017,1016566,260299
73 DECATUR STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018550045,05/27/2016,Pending,Cleaning crew dispatched.  Property cleaned.,08/16/2015,1000642,187241
118-17 METROPOLITAN AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4033290001,06/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/27/2016,1030196,196862
688 CENTRAL AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034460032,09/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2016,1010213,189726
1100 HYLAN BOULEVARD,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,5032390050,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2016,962214,157346
61-05 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4010210002,11/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/21/2017,1011422,216036
379 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032580002,07/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/07/2017,1006132,194451
4909 FOURTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007830006,09/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2016,980890,174963
105-24 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4092890028,09/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,1028143,192608
34-02 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,26,4006720025,08/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2016,1006114,214875
1515 SHEEPSHEAD BAY ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074600012,06/13/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/14/2016,997052,153256
55-24 VAN HORN STREET,QUEENS,04 QUEENS,Precinct 110,25,4028790031,07/25/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/10/2016,1018101,206539
140-13 CHERRY AVENUE,QUEENS,07 QUEENS,Precinct 109,20,4051860087,07/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/07/2016,1033415,214051
307 7 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008030004,04/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,986019,211381
36 WEST   47 STREET,MANHATTAN,05 MANHATTAN,Precinct 18,04,1012620056,04/15/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/31/2016,989831,215143
4901 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46,3078740011,06/24/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/26/2016,1004313,164768
2544 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46,3085590001,07/05/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/26/2016,1006127,161030
455 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3045910080,07/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2016,1003253,180608
493 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010230001,07/14/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/18/2016,987667,182467
2060 EASTERN PARKWAY,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034720021,08/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2016,1010700,187348
440 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028690005,08/26/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/29/2016,1001604,201289
1517 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033280008,04/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/11/2016,1007952,194031
6021 13 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3057190001,06/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/04/2016,984607,168318
3429 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041480067,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/01/2016,1020245,187803
1672 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065820043,05/23/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/27/2016,991574,162265
578 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027860007,05/30/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/31/2016,998514,198387
93-02 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4091620001,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1027041,187127
73 RALPH AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014830010,04/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/10/2016,1005422,189834
233 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016620010,01/24/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/01/2017,1003825,188773
189 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003300009,08/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/14/2016,983578,189050
235 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027000004,10/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/13/2016,998831,202590
1312 WEST    6 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065780007,10/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,989632,162562
4918 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007820043,08/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,980874,174952
8307 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060190008,09/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2016,977284,166416
1080 67 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3057650041,10/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2016,982097,168018
450 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,08,2022820025,08/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2016,1006034,233820
28-57 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,4006630048,06/25/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/17/2016,1008092,218065
2872 BRIGHTON    4 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072610095,08/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2016,994080,150998
61-02 MADISON STREET,QUEENS,05 QUEENS,Precinct 104,30,4036190022,07/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/13/2016,1012839,196935
175 WEST   94 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,06,1012250001,07/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/04/2016,992387,227996
88 THIRD AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1005580036,06/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,987550,205987
102 EAST   30 STREET,MANHATTAN,05 MANHATTAN,Unspecified,02,1008850087,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,989012,210482
93 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003480025,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,988310,201064
364 WEST   53 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010430061,04/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,987999,217946
8021 17 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062840001,08/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,983839,162181
1506 AVENUE H,BROOKLYN,14 BROOKLYN,Precinct 70,45,3066990102,07/07/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/26/2016,994756,168795
2955 NOSTRAND AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46,3077010038,07/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,999769,162380
4804 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46,3078930041,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,1004058,164742
4008 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007140042,07/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,982968,176306
742 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024180025,07/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,995155,198886
963 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025400040,06/11/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/28/2016,996838,205996
752 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027650010,05/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2016,999808,199619
33-29 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19,4060740043,04/28/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/08/2016,1042412,218677
703 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026190027,05/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/02/2016,997574,203690
1102 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3024880004,06/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2016,996656,207497
1453 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3052500001,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2016,998121,170650
119 KENT AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023250008,05/05/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/26/2016,994839,201679
642 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027470008,06/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,998199,200164
915 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019770035,05/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2016,993531,188265
42-73 MAIN STREET,QUEENS,07 QUEENS,Precinct 109,20,4051360074,06/03/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/22/2016,1032056,213826
525 THROOP AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018360007,05/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/16/2016,1000566,188551
638 EAST  183 STREET,BRONX,06 BRONX,Precinct 48,15,2030860027,05/04/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/04/2016,1015286,249940
6024 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057810041,06/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,979080,172686
4805 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3007780008,05/27/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/01/2016,983518,173222
218 ST ANNS AVENUE,BRONX,01 BRONX,Precinct 40,08,2025500007,04/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/01/2016,1007017,233076
7525 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059420001,05/02/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/26/2016,977940,168523
205 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026540028,05/21/2016,Closed,Cleaning crew dispatched.  Owner refused.,06/30/2016,999594,203641
2795 BRIGHTON    8 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072640031,06/07/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/27/2016,995028,151574
58-06 SEABURY STREET,QUEENS,04 QUEENS,Precinct 110,25,4028720029,10/07/2016,Closed,Cleaning crew dispatched. No graffiti on property.,02/22/2017,1019260,206094
103 WEST  131 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019160028,06/22/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/26/2017,999968,235038
26-17 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008580165,08/07/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/12/2016,1008198,222787
21-01 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008780001,09/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2016,1006704,222972
195 ST JAMES PLACE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019800014,10/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,994281,188375
