INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
352 EAST  105 STREET,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016760030,12/04/2016,Open,Site downloaded for cleaning,,1000395,226890
486 EAST  167 STREET,BRONX,03 BRONX,Precinct 42,16,2023710023,12/23/2016,Open,Site downloaded for cleaning,,1009847,241589
689 LEXINGTON AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,04,1013110052,12/19/2016,Open,Site downloaded for cleaning,,992740,216388
445 BAY RIDGE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058640066,11/24/2016,Open,Site downloaded for cleaning,,978047,170293
5409 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056720007,11/30/2016,Open,Site downloaded for cleaning,,982542,171993
245 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004080014,11/17/2016,Open,Site downloaded for cleaning,,987114,200843
56 3 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1005560024,11/13/2016,Open,Site downloaded for cleaning,,987342,205610
6316 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058090140,10/25/2016,Open,Site downloaded for cleaning,,979228,171585
168 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023190019,05/21/2016,Open,Site downloaded for cleaning,,996077,200943
189-29 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4110590023,04/06/2017,Open,Site to be cleaned.,,1050267,191404
43-17 MAIN STREET,QUEENS,07 QUEENS,Precinct 109,20,4051400006,03/27/2017,Open,Site to be cleaned.,,1032306,213336
648 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006340046,03/20/2017,Open,Site to be cleaned.,,986433,180680
1580 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,05,1015620002,03/10/2017,Open,Site to be cleaned.,,997781,221427
28-15 24 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008430076,02/23/2017,Open,Site to be cleaned.,,1007268,221043
107 BAY   23 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43,3064080022,02/14/2017,Open,Site to be cleaned.,,983897,158912
34-48 31 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006070046,03/29/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1004232,215778
379 HARMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032800052,04/03/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007214,194914
126-12 18 AVENUE,QUEENS,07 QUEENS,Precinct 109,19,4041320021,03/17/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1028014,224664
84-14 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25,4024770005,03/07/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1017739,207847
597 SACKETT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,33,3004270069,03/15/2017,Open,Site downloaded for cleaning,,988562,186573
764 EAST  133 STREET,BRONX,01 BRONX,Precinct 40,17,2025610042,03/06/2017,Open,Site downloaded for cleaning,,1007993,231194
276 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019300001,02/04/2017,Open,Site downloaded for cleaning,,997948,234346
339 TROUTMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031760001,03/01/2017,Open,Site downloaded for cleaning,,1005269,196224
942 40 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3055860025,02/14/2017,Open,Site downloaded for cleaning,,985704,174202
168 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003480075,02/06/2017,Open,Site downloaded for cleaning,,988252,200742
126 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019090046,02/08/2017,Open,Site downloaded for cleaning,,999039,233740
1208 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3054640044,02/21/2017,Open,Site downloaded for cleaning,,990941,166644
75 CANAL ST WEST,BRONX,01 BRONX,Precinct 40,08,2023220028,01/25/2017,Open,Site downloaded for cleaning,,1003465,234787
634 GATES AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018160027,01/10/2017,Open,Site downloaded for cleaning,,1000965,189742
908 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011410033,12/08/2016,Open,Site downloaded for cleaning,,995321,186487
94-17 FRANCIS LEWIS BOULEVARD,QUEENS,13 QUEENS,Precinct 105,23,4105390011,12/25/2016,Open,Site downloaded for cleaning,,1052301,199684
187 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004120012,12/16/2016,Open,Site downloaded for cleaning,,987629,202565
1040 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029250001,10/31/2016,Open,Site downloaded for cleaning,,1002324,199569
203 FORBELL STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042060006,09/08/2016,Open,Site downloaded for cleaning,,1021972,186386
56 WEST STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5002080001,05/07/2016,Open,Site downloaded for cleaning,,951450,169851
785 WESTCHESTER AVENUE,BRONX,01 BRONX,Precinct 40,17,2026550022,02/08/2017,Open,Site to be cleaned.,,1010790,237479
321 PORT RICHMOND AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 121,49,5010380009,02/23/2017,Open,Site to be cleaned.,,946455,170239
137 CONSELYEA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027540039,03/16/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,999352,199825
5603 11 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3056890006,03/14/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,984060,170139
735 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051510001,02/21/2017,Open,Site downloaded for cleaning,,995363,174120
3 WEBSTER PLACE,BROOKLYN,07 BROOKLYN,Precinct 72,39,3010550019,02/05/2017,Open,Site downloaded for cleaning,,987908,180909
186 EAST  164 STREET,BRONX,04 BRONX,Precinct 44,08,2024610070,01/04/2017,Open,Site downloaded for cleaning,,1006349,241414
310 EAST   75 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014490038,01/22/2017,Open,Site downloaded for cleaning,,996321,220003
632 50 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007930016,01/05/2017,Open,Site downloaded for cleaning,,982228,173636
41-07 42 STREET,QUEENS,02 QUEENS,Precinct 108,26,4001597502,01/05/2017,Open,Site downloaded for cleaning,,1005928,211344
2199 EAST    5 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071320063,11/09/2016,Open,Site downloaded for cleaning,,993512,156665
8745 19 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3064060008,02/09/2017,Open,Site to be cleaned.,,983310,159004
340 EAST   64 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014387501,02/20/2017,Open,Site to be cleaned.,,995044,217367
 WEST 188 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/22/2017,Open,Property Research Required,,,
481 EAST  135 STREET,BRONX,01 BRONX,Precinct 40,08,,08/20/2016,Open,Property Research Required,,1005897,232986
1991 BELMONT AVENUE,BRONX,06 BRONX,Precinct 48,17,,07/15/2016,Open,Property Research Required,,1014366,247807
51st 51st ave,QUEENS,Unspecified QUEENS,Unspecified,,,07/22/2016,Open,Property Research Required,,,
261 SOUND VIEW AVENUE,BRONX,09 BRONX,Precinct 43,18,,06/30/2016,Open,Property Research Required,,1024173,234722
 QUEENSBORO BRIDGE,QUEENS,Unspecified QUEENS,Unspecified,,,06/07/2016,Open,Property Research Required,,,
 256 14 st,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,05/21/2016,Open,Property Research Required,,,
 aqueduct avenue,BRONX,Unspecified BRONX,Unspecified,,,05/31/2016,Open,Property Research Required,,,
1017 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,,04/15/2016,Open,Property Research Required,,1014185,239321
93 VERMILYEA AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,,04/11/2016,Open,Property Research Required,,1005609,254776
2142 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,13,2043180001,03/08/2017,Open,Site downloaded for cleaning,,1020855,250758
740 WEST  254 STREET,BRONX,08 BRONX,Precinct 50,11,2059370489,02/25/2017,Open,Site downloaded for cleaning,,1008485,268464
3868 BARNES AVENUE,BRONX,12 BRONX,Precinct 47,12,2046800040,01/16/2017,Open,Site downloaded for cleaning,,1023242,261505
31 MONROE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002767503,11/23/2016,Open,Site downloaded for cleaning,,985645,198509
4577 MATILDA AVENUE,BRONX,12 BRONX,Precinct 47,11,2050760056,12/08/2016,Open,Site downloaded for cleaning,,1024672,268019
